screen_name,followers_count,friends_count,created_at,lang,statuses_count
IsoFleecie,7,11,2017-04-07 09:09:09+00:00,en,75
Elizabeth_Telit,2,20,2016-06-18 09:35:10+00:00,ru,189
CatherineOCon15,9,120,2012-07-01 01:46:23+00:00,en,136
AskQurayat,0,0,2017-07-09 11:56:25+00:00,ar,121
btuzcu26,267,1337,2013-08-08 11:49:17+00:00,tr,888
crey2010,5,5,2011-11-06 22:24:51+00:00,en,60
FriedChickenLA,73,61,2013-11-06 15:35:54+00:00,en,220
Kawaiikarina101,9,117,2017-05-08 16:12:32+00:00,en,27
ZukyRock,94,216,2009-09-30 17:49:10+00:00,en,2322
D357ruk7,13,39,2012-12-20 23:04:48+00:00,en,218
Neketa07,90,237,2009-06-09 06:13:14+00:00,en,1407
breitsprecker3,9,15,2015-09-01 02:01:56+00:00,en,55
janinecushman,49,57,2011-07-14 21:49:48+00:00,en,93
robcayman,630,1347,2011-03-27 14:16:26+00:00,en,6467
marceloocg,174,302,2010-10-24 19:38:15+00:00,es,548
lindammarsella,11,73,2011-09-04 15:22:58+00:00,en,180
satriawsm,0,1,2014-08-20 12:23:01+00:00,en,122
picnikkkk,25,62,2009-10-13 22:28:15+00:00,en,121
ashley4bella,145,149,2012-09-09 03:36:54+00:00,en,185
GabesMommi11,39,208,2012-03-17 00:34:09+00:00,en,1004
RockCashbox,33,258,2012-02-08 18:34:58+00:00,en,302
AmyRaichelson,9,47,2016-06-05 13:46:39+00:00,en,64
Misha_329,134,852,2010-01-06 16:17:50+00:00,en,2484
davisdee,24,120,2008-05-11 16:06:27+00:00,en,177
cammac22,9,45,2011-09-21 16:07:40+00:00,en,62
WassupWit_B,231,227,2010-03-26 01:34:07+00:00,en,6938
Plattae,188,795,2012-04-24 15:54:25+00:00,en,1957
bradzieski,73,226,2009-06-22 22:13:46+00:00,en,202
hafsagho,122,610,2013-08-05 00:01:04+00:00,en,258
assihoward,19,26,2013-07-12 05:47:33+00:00,en,128
RDbestdiet,2,7,2009-07-15 13:46:24+00:00,en,70
LaMaremma,791,1560,2010-05-27 10:57:03+00:00,nl,3119
soomroshuaib,78,189,2011-06-01 10:21:51+00:00,en,204
JimBilka,6,18,2016-02-16 00:26:47+00:00,en,139
ckeven,11,100,2007-03-24 19:19:43+00:00,en,137
JalesaJones15,50,390,2014-04-28 21:19:48+00:00,en,460
VladislavDXM,3,4,2015-04-24 15:52:35+00:00,ru,199
KoT_1349,15,413,2013-02-12 20:45:36+00:00,ru,375
Perry_Perreault,62,100,2011-09-06 04:35:39+00:00,en,105
ZehraCP,88,158,2013-02-01 17:48:23+00:00,tr,330
guin_r,71,641,2012-06-20 17:16:34+00:00,en,721
AwengShah,494,905,2009-02-11 19:16:03+00:00,en,5796
ntpeirce,30,48,2010-03-22 18:38:16+00:00,en,19
sbscott4,49,77,2009-09-08 04:27:23+00:00,en,107
kazpallas,175,156,2012-01-28 20:05:54+00:00,en,6459
calikiwi87,78,480,2009-05-05 17:38:57+00:00,en,628
Ranjith2101,23,149,2010-06-24 09:49:07+00:00,en,195
deadeye985,8,19,2012-04-29 20:58:47+00:00,en,185
pbo26,51,636,2009-07-02 02:04:35+00:00,en,249
ayeny_89,29,214,2011-08-18 19:52:27+00:00,en,134
tinkylove3,22,80,2013-11-30 14:36:57+00:00,en,235
andariand18,1,17,2010-11-06 11:51:20+00:00,en,89
markkos1977,1,10,2013-01-01 12:00:36+00:00,ru,198
Kyroly18,1,19,2016-01-10 21:17:54+00:00,en,128
daugherty_diana,0,13,2012-07-29 23:47:16+00:00,en,16
mzwilson23,45,120,2009-02-25 18:15:43+00:00,en,316
mrsjchesley,18,87,2013-01-21 19:55:02+00:00,en,77
kittnjoe,6,110,2013-10-02 00:11:52+00:00,en,61
prestoluh,171,427,2009-12-25 16:41:14+00:00,en,3825
CeleryForDays,71,71,2011-01-09 20:05:12+00:00,en,276
Brendiize,53,122,2009-08-31 07:46:17+00:00,en,237
780_917,1035,1571,2015-04-14 06:53:39+00:00,en,693
Unthoughtofhero,33,81,2009-03-28 21:37:08+00:00,en,352
abbyilovu,0,3,2010-01-07 16:20:40+00:00,en,127
mmdelise,16,99,2014-08-15 12:08:40+00:00,en,63
Nikocarol,26,40,2009-05-15 23:15:38+00:00,en,709
cnotes170,173,252,2009-06-13 05:07:14+00:00,en,192
shelleyfewkes,14,99,2011-01-04 18:20:34+00:00,en,90
lalandreP,492,190,2010-02-27 15:55:07+00:00,es,8457
cheezypotato29,8,12,2012-10-27 20:49:55+00:00,en,152
nicole_manning,276,237,2009-05-07 20:46:01+00:00,en,15810
jamalataylor,84,256,2010-08-01 23:11:45+00:00,en,1641
ElecktraB,78,252,2013-07-30 13:16:37+00:00,en,1313
Courtne31121255,2,40,2016-09-27 01:16:58+00:00,en,80
Tsexumlow1,3,27,2011-09-13 16:45:28+00:00,en,83
DjMio83,7,14,2010-10-01 15:19:47+00:00,de,143
megapavel210781,0,2,2012-07-29 19:03:24+00:00,ru,181
dwrenn,218,698,2008-10-03 04:15:53+00:00,en,560
LilFalker,92,284,2011-04-06 03:41:34+00:00,en,99
Guilherme_azvv,461,305,2010-11-06 14:19:44+00:00,pt,16645
mac_garry,36,41,2010-03-21 01:02:27+00:00,en,2072
marinagazette,47,49,2009-05-01 20:55:25+00:00,en,173
lhectorPR,312,399,2009-01-23 22:23:10+00:00,en,1583
ChaniM1985,84,317,2010-02-04 07:07:24+00:00,en,475
loubdoo99,103,570,2008-09-08 16:17:09+00:00,en,1013
CJARhodes,265,210,2011-05-24 15:50:51+00:00,en,2529
C00ND4CK,6,26,2011-10-07 08:32:18+00:00,tr,135
GabbyEConti,26,25,2010-04-15 06:35:13+00:00,en,169
MaKaleaBjoin,7,195,2011-12-19 03:06:05+00:00,en,90
mpv111173,0,92,2017-04-23 02:52:06+00:00,ru,15
tweetingsanjay,91,131,2012-07-30 05:03:11+00:00,en,1127
Monolit1958,3,205,2013-09-23 18:18:45+00:00,ru,202
jekison,121,222,2010-06-30 19:26:36+00:00,ru,3120
jrbuca,6,10,2009-04-24 16:47:11+00:00,en,117
LeonWinterBiz,1211,1430,2011-04-24 17:58:28+00:00,en,1313
Ren429_Rants,186,328,2009-04-29 05:10:43+00:00,en,10948
SinemKadak1,4,53,2012-09-03 17:05:17+00:00,tr,111
gdonato,4,7,2008-07-23 00:07:53+00:00,en,84
MerkRocks,11,43,2012-01-21 19:37:26+00:00,en,173
msknharris75,79,886,2009-03-17 16:29:17+00:00,en,78
DimplesIP,213,329,2009-01-26 00:17:02+00:00,en,959
NaomiBCollier,28,55,2009-03-31 01:19:59+00:00,en,15
Sergo_532,19,30,2014-12-17 07:40:48+00:00,ru,909
reisana3,2,15,2010-10-11 20:12:40+00:00,en,152
ToniKimberlyy,801,862,2012-03-27 16:39:30+00:00,en,2007
MolaSamantha,30,132,2015-12-18 15:36:28+00:00,it,346
Robocraigy,25,14,2013-09-08 06:50:13+00:00,en,160
Thalyssonlyma,293,260,2009-08-01 02:15:50+00:00,pt,5429
irvazquez112,31,94,2014-03-23 12:13:38+00:00,es,153
GanapathyDyna,4,1,2017-06-29 10:53:35+00:00,en,161
MarkPearson1,26,140,2010-05-29 17:24:50+00:00,en,188
fimanata,3,9,2012-07-04 20:23:32+00:00,ru,186
mpicchetti,9,8,2007-04-12 02:03:45+00:00,en,132
racingjehu,1,56,2011-07-29 00:17:40+00:00,en,66
Jojuwa9185,4,31,2015-07-24 06:01:28+00:00,en,78
tuundraLove,17,100,2015-12-06 19:57:31+00:00,ru,483
ellekayeeff,11,1,2015-11-12 01:52:43+00:00,en,143
R63220315,1,20,2016-06-20 21:30:54+00:00,ru,128
thevegascircle,395,1829,2009-09-20 03:36:05+00:00,en,882
frank4ve,551,728,2009-12-23 23:36:21+00:00,es,23658
JB2188,10,82,2009-06-17 05:32:44+00:00,en,125
DrZombae,75,165,2013-07-24 06:17:14+00:00,en,379
MitchTristan,0,3,2012-10-01 15:42:55+00:00,en,60
Christina78134,22,229,2011-08-21 05:32:39+00:00,en,154
_foreverbianca,19,94,2009-10-24 02:17:54+00:00,en,356
beccakelly,9,38,2008-09-22 19:51:57+00:00,en,145
vinoghradov_00,5,342,2013-03-24 03:11:57+00:00,ru,222
FoxShame,2,41,2015-02-20 19:03:40+00:00,ru,196
hsieh_kenny,7,60,2012-02-04 04:13:45+00:00,th,122
hevish11,37,33,2011-04-03 07:42:53+00:00,en,130
250273siv,485,834,2011-11-21 17:51:33+00:00,ru,1055
96haslarzy69,3,1,2015-07-24 19:41:14+00:00,ru,184
mau90soares,12,708,2016-03-23 00:43:49+00:00,pt,100
kelrenee,49,126,2008-03-26 21:11:33+00:00,en,98
ja_hor,41,82,2011-06-13 18:33:06+00:00,en,187
gladozadewale,5,7,2011-07-16 23:20:10+00:00,en,171
DmitrijYakovlev,1,3,2012-04-17 20:13:24+00:00,ru,1796
zoahwong,46,53,2009-02-26 19:46:00+00:00,en,71
AnnieNg00,29,96,2012-05-31 14:59:03+00:00,en,2212
TheJuanAndOnly7,334,240,2011-07-01 23:20:23+00:00,en,8215
efb6cA22NOS0TKA,51,0,2017-06-15 11:11:03+00:00,ru,135
JOSPER1991,0,0,2010-04-25 05:45:25+00:00,en,78
Im__Ba,430,422,2011-07-20 19:08:56+00:00,en,295
chloe_sara1,26,106,2014-08-06 21:01:20+00:00,en,327
KGrace377,97,486,2015-12-28 19:39:03+00:00,en,131
JonathanChung2,43,80,2011-05-25 21:52:34+00:00,en,475
ZhanzharovaJuly,1,6,2011-04-28 13:48:24+00:00,ru,179
high_romance,25,276,2010-05-07 08:36:29+00:00,en,131
KindAlcoholic,4,6,2012-07-31 10:38:40+00:00,en,5189
ScottsdaleKid,0,2,2016-05-15 22:58:20+00:00,en,13
MarreroWill,46,96,2009-04-11 13:13:00+00:00,en,133
ayrtonbatistaa,8,34,2011-03-03 23:57:46+00:00,en,117
valmitus,2,78,2017-05-12 19:59:59+00:00,ru,168
SentencedToWin,659,1726,2012-09-19 01:00:40+00:00,fr,21989
_thebradybunch,31,8,2011-06-12 07:08:56+00:00,en,116
Danielle1126,41,191,2009-06-27 23:16:46+00:00,en,444
gerri3511,7,22,2009-07-07 13:37:15+00:00,en,108
devon212,199,507,2009-11-01 14:40:48+00:00,en,7244
Christinelee78,9,147,2017-08-22 18:40:04+00:00,en,143
RecklessDWR,590,1521,2009-04-06 22:08:26+00:00,en,3502
Ilovescotts,74,64,2012-03-18 00:03:29+00:00,en,7181
Colette_Florido,12,89,2017-05-30 18:18:41+00:00,en,67
BridgetGeiger,4,6,2014-09-21 14:55:22+00:00,en,75
ChrissyMCharles,164,553,2011-01-08 01:59:56+00:00,en,368
fixitchris,26,18,2009-03-02 02:41:05+00:00,en,127
x_Cotte,0,242,2010-06-12 00:44:50+00:00,es,107
888Majed,21,18,2012-03-29 04:57:00+00:00,ar,117
CBeddies,18,17,2009-06-24 17:54:35+00:00,en,80
dorisjevans,6,30,2012-07-21 06:39:52+00:00,en,21
gise18,20,103,2009-05-19 05:07:24+00:00,en,177
glozzee_maks,10,31,2013-04-01 00:15:12+00:00,en,130
Vibelizeii,2273,2608,2011-06-24 22:58:35+00:00,pt,5766
MaddyFithian,67,133,2009-09-28 20:01:18+00:00,en,352
justice4fall,125,97,2013-07-04 17:32:07+00:00,en,288
DeeptiJodhawat,51,75,2012-04-12 16:43:03+00:00,en,139
weyheysel,11215,8486,2011-03-01 10:36:35+00:00,en,2854
kcute1,56,307,2010-11-03 13:27:54+00:00,en,395
_Satsura_,0,118,2012-09-11 19:07:30+00:00,ru,190
emoalterego,5,16,2011-11-10 17:45:45+00:00,en,97
daniellafj05,13,187,2013-09-14 20:35:09+00:00,es,113
imoncada,499,171,2008-01-17 22:18:17+00:00,en,247
liamyang1989,6,113,2016-11-17 00:12:02+00:00,en,132
alanathellama23,16,21,2014-02-13 08:26:05+00:00,en,88
esteban3521,19,109,2012-02-08 22:17:51+00:00,fr,434
boomerandbabies,17,180,2010-03-16 17:43:26+00:00,en,395
hallford_k,15,121,2014-07-26 23:53:27+00:00,en,146
YourTaxAdviser,33,101,2009-07-06 23:05:09+00:00,en,82
Nikkiiii12,0,287,2013-04-24 15:32:16+00:00,en,121
markdmorrison,7,26,2009-02-10 13:33:55+00:00,en,132
TashebaJohnson,1922,990,2009-08-19 03:04:19+00:00,en,17382
29billy,1,58,2009-08-22 14:30:58+00:00,en,145
ju_duart,98,578,2011-05-29 21:28:37+00:00,pt,590
23masshole,189,1030,2012-02-23 11:50:57+00:00,en,849
mjcgia,3,6,2012-02-02 15:55:26+00:00,en,12
peteyc,10,94,2012-10-31 13:37:25+00:00,en,158
B_Fails,227,198,2009-10-23 00:11:23+00:00,en,2334
SquiliamFP,10,9,2017-01-22 00:19:55+00:00,en,37
ReDa1996ok,2,27,2011-11-14 12:56:48+00:00,fr,194
lyandclaro,188,78,2011-05-17 23:03:20+00:00,pt,10918
mdvg28,13,121,2010-06-26 01:08:41+00:00,es,124
Dabonz75,4,8,2011-02-21 06:37:15+00:00,en,119
squizzelo,182,235,2011-04-14 10:48:46+00:00,en,1467
nycxswties,9,30,2009-06-12 13:51:56+00:00,en,15
josefxavier,117,212,2009-09-25 06:55:10+00:00,en,232
MelvinRamirezHN,21,45,2012-11-05 18:39:02+00:00,es,87
Asap_Shani,18,42,2012-10-17 20:51:49+00:00,en,201
kimmycorn12,111,312,2013-03-12 21:27:58+00:00,en,115
Christo16330994,4,30,2017-08-03 10:06:11+00:00,en,15
LorriVillarreal,34,162,2016-03-08 20:15:23+00:00,en,248
jayleemt,7,11,2009-04-12 02:54:12+00:00,en,77
zarya99,2,62,2012-08-17 19:37:09+00:00,ru,131
Saluto4ka_Puppy,120,221,2016-09-30 09:14:05+00:00,ru,198
tdrizzle53,24,79,2013-07-09 13:58:57+00:00,en,144
Tarabeann,58,237,2009-03-03 15:30:59+00:00,en,253
CCME10,17,80,2013-07-08 16:07:37+00:00,en,268
maadddyyy_,185,77,2013-03-30 23:09:37+00:00,en,4769
scotrubyconfftx,5,378,2015-02-26 06:30:51+00:00,en,200
ZarubinDaniil,11,12,2011-05-15 16:19:54+00:00,ru,197
cunningpat,41,83,2009-06-14 18:09:49+00:00,en,499
luvmayberry2,41,200,2013-10-05 03:40:01+00:00,en,175
Erendira_Mttz,295,220,2011-11-24 22:21:14+00:00,es,10216
PushaSmith,83,495,2011-04-13 21:02:59+00:00,en,344
jeennbravo,192,136,2009-06-05 21:37:14+00:00,es,1796
kain_anna,285,284,2011-08-24 03:57:54+00:00,en,1082
Gitsie13,3,66,2009-03-21 13:57:21+00:00,en,18
bbchristianne,236,196,2009-06-18 13:38:16+00:00,en,9945
Cuteshorty99,266,463,2012-02-27 23:45:05+00:00,en,1299
luvthatjewelry,1,0,2014-12-15 23:15:47+00:00,en,79
abiharlove,12,70,2011-10-01 23:26:46+00:00,en,103
hmorales379,8,28,2011-04-15 03:18:48+00:00,en,82
HomayunKanouni,2,29,2015-09-11 17:51:40+00:00,en,27
hesseyMHS007,42,135,2009-05-08 01:52:12+00:00,en,10611
TPeterson21,32,89,2011-08-18 02:59:25+00:00,en,102
anna_kuliganova,12,5,2009-12-02 23:54:56+00:00,ru,607
DerekVandeWeg,60,81,2011-03-11 07:46:50+00:00,en,25
nima1218,27,111,2011-10-11 03:39:41+00:00,en,505
Bchessermusic,69,359,2012-11-15 22:34:09+00:00,en,191
Jackson3038,22,70,2010-04-07 22:24:45+00:00,en,91
dudacastro1997,4,453,2009-09-15 21:34:27+00:00,pt,117
anthonysmydee,259,170,2011-12-13 06:51:04+00:00,en,4205
rosendo_A_R,38,40,2013-03-19 01:16:23+00:00,en,693
jhoweyeshomecom,377,525,2009-04-01 18:31:42+00:00,en,328
triplelindi4,18,18,2012-01-05 10:21:51+00:00,en,134
SamWinks,160,422,2011-04-12 01:08:58+00:00,en,3387
OpFobParasdise,16,89,2017-03-13 23:03:11+00:00,en,138
Klubik777,4,707,2014-05-31 08:56:24+00:00,ru,268
lhw017,2,2,2011-02-13 14:19:36+00:00,en,72
eberheardt17,5,9,2016-10-06 20:51:44+00:00,en,54
ForeverGeee,767,514,2010-10-02 10:12:09+00:00,en,22461
YardleyIan,14,25,2011-10-15 23:10:20+00:00,en,244
asvspb1,2,31,2014-10-07 17:54:42+00:00,ru,138
MarinaDelReyApp,12,0,2012-09-19 10:29:23+00:00,en,94
jpearson99801,3,7,2016-12-28 18:53:06+00:00,en,85
ssbarsness,20,42,2015-09-16 00:49:54+00:00,en,77
LucyJuiceJ,4,332,2012-04-15 16:36:56+00:00,en,141
Garagefl0wer,853,782,2010-11-13 18:48:24+00:00,en,11264
afisher48,25,84,2011-08-03 17:39:49+00:00,en,549
platium321,12,25,2010-03-17 01:32:51+00:00,en,551
elliesuue,52,113,2011-02-13 23:34:44+00:00,en,373
maryanneonyx,19,66,2013-06-07 00:39:08+00:00,en,198
kaffeapan,69,93,2009-04-21 07:42:21+00:00,sv,5239
GretaJocyte,252,514,2012-01-30 20:35:26+00:00,en,2441
rickspickelmier,191,121,2009-01-13 16:51:25+00:00,en,2105
ne1sonshine,358,391,2009-03-12 16:11:21+00:00,en,14409
AmericanKozzak,89,612,2007-04-25 21:29:32+00:00,en,2142
brk7894,64,48,2009-03-14 18:44:22+00:00,en,17176
jbrugg65,57,254,2009-06-08 14:09:12+00:00,en,746
jbutlersibul,2,986,2011-08-13 11:57:02+00:00,en,29
jessyqin,4,1465,2011-04-24 09:38:21+00:00,en,98
AiMeEtRiM,5,90,2010-05-02 10:32:44+00:00,en,7
RobertoAmry,3,248,2015-01-07 15:31:39+00:00,en,7
birdieowner,1,165,2010-08-02 18:30:32+00:00,en,10
WangYun13,6,159,2011-11-03 11:30:30+00:00,zh-tw,37
nearlyemma,92,395,2014-04-14 23:49:52+00:00,en,1532
EkoAbdi,0,30,2010-12-29 20:20:42+00:00,en,1
marie1700001,2,168,2013-09-27 19:53:08+00:00,fr,32
JennyAK47,7,906,2009-03-24 00:35:08+00:00,en,33
p3p343v3r,7,181,2010-05-19 23:37:55+00:00,es,6
dcopher84,2,95,2010-09-24 02:15:37+00:00,en,6
KremerMichael,4,221,2012-08-02 19:45:12+00:00,de,4
DellaneyK,4,239,2012-06-22 15:27:23+00:00,en,11
SoThugdOut,1,100,2009-11-16 23:18:27+00:00,en,7
urarasho2,5,173,2016-06-26 07:11:37+00:00,zh-cn,2
fancygirl44,0,183,2009-09-01 18:45:45+00:00,en,16
SFetner1969,3,413,2016-09-06 14:07:43+00:00,en,6
kyteille,2,178,2010-09-15 08:43:38+00:00,en,5
Waxywilly710,0,70,2013-01-23 06:13:07+00:00,en,2
CreasyAustin,0,366,2014-01-27 21:37:31+00:00,en,12
dnogrl,0,171,2014-11-27 08:27:43+00:00,en,6
wardbrianna80,12,1409,2012-08-15 18:17:51+00:00,en,25
pimpattrasiri,0,397,2011-05-14 06:54:48+00:00,en,15
Switacz,3,582,2011-01-03 12:27:23+00:00,en,29
Rene22398648,17,3217,2012-03-28 16:07:44+00:00,de,34
_9723074370523,0,197,2012-03-18 09:50:04+00:00,zh-cn,5
GroverGuzman,1,55,2011-03-11 00:24:08+00:00,es,1
juriflza,2,337,2011-10-25 13:12:35+00:00,en,28
Krisstikk,5,51,2009-10-10 20:18:10+00:00,en,1
Joshua_Elmooxz,48,381,2012-08-25 21:47:25+00:00,en,126
Daniscattergood,4,253,2011-07-13 17:22:29+00:00,en,9
HugueDrew,4,1214,2012-01-26 08:55:19+00:00,fr,37
deanyclaire,4,74,2010-05-12 06:56:43+00:00,en,1
latinking1987,39,415,2014-07-07 03:37:49+00:00,en,609
art0205,2,1291,2011-08-16 03:56:41+00:00,ko,16
lubbly_97,6,2376,2011-03-19 13:34:12+00:00,en,64
Leodark_74,0,56,2011-03-25 23:23:12+00:00,en,3
blaszyski,1,1172,2011-02-07 12:15:33+00:00,en,41
marlyshaa,10,191,2010-09-06 02:59:13+00:00,en,3
_curtisamerica,0,226,2012-08-13 15:05:59+00:00,en,11
w1zzo,1,167,2009-12-24 06:33:20+00:00,en,4
YuliaAnthonio,3,102,2014-01-22 15:10:11+00:00,en,10
nanorre,11,89,2011-01-11 17:23:57+00:00,en,31
Bassvirus,1,146,2012-01-19 16:20:07+00:00,en,12
RiverMZaye,4,904,2012-03-20 02:04:12+00:00,en,37
lirvemanis,5,140,2011-03-12 05:06:15+00:00,en,9
T_Darck_T,2,411,2014-03-23 05:24:46+00:00,es,14
HongKhyeHung,1,93,2010-01-16 23:14:40+00:00,en,2
romaan1991,7,409,2012-08-31 09:54:57+00:00,nl,9
ChrissieKeo,8,176,2011-09-26 10:52:00+00:00,en,24
MarcAndry,0,227,2010-06-22 18:33:28+00:00,en,8
huseyinyesil,11,420,2009-10-18 18:03:42+00:00,en,5
gtl65,0,135,2010-06-22 16:09:23+00:00,en,3
Joeyheard1,2,1603,2015-09-10 17:05:46+00:00,en,16
torenohime,2,1248,2010-05-15 21:23:20+00:00,en,38
camilar10117622,2,93,2012-10-31 21:31:38+00:00,pt,15
RosaBar77895787,21,122,2013-05-15 12:48:37+00:00,en,74
avfcEDL4eva,13,538,2013-05-25 20:36:36+00:00,en,111
Megsmarie393,2,239,2009-04-07 02:04:38+00:00,en,3
lystiami,83,270,2013-10-11 10:48:02+00:00,en,521
xFallen_Turtlex,0,153,2013-03-29 19:44:49+00:00,en,6
asshole6677,1,210,2009-09-04 03:39:44+00:00,en,8
Ju_Poynter,7,1131,2009-07-12 01:29:22+00:00,en,27
sakartvelom,5,254,2013-06-23 22:49:28+00:00,en-gb,7
JakicAna,4,667,2012-09-05 11:14:20+00:00,en,26
ahlaaam96,208,293,2013-05-03 16:00:28+00:00,en,881
AshikTiwari,10,813,2013-10-27 15:39:59+00:00,en,8
EvaBdx,5,1592,2010-06-15 18:41:18+00:00,fr,64
koniaguilar,6,247,2011-02-27 04:03:00+00:00,es,9
boschable,0,85,2011-01-26 10:33:12+00:00,de,5
ClaudiaRomeo9,1,123,2014-01-26 21:09:56+00:00,it,4
gabrielapires26,10,249,2012-02-03 21:55:36+00:00,pt,66
LOGAN1131,0,891,2011-05-30 22:41:19+00:00,en,33
ForestalJ,2,1234,2011-10-18 23:56:41+00:00,en,86
togeri,1,1379,2010-09-23 00:34:13+00:00,ja,16
fontenot35,0,173,2012-08-16 03:23:39+00:00,en,12
KatiehgKatie,2,706,2013-04-16 11:15:23+00:00,en,25
pwrbyhonda,3,177,2010-03-26 07:08:42+00:00,en,6
shine090291,4,243,2010-12-19 06:12:30+00:00,en,7
Tonietemple,0,53,2011-12-01 06:07:22+00:00,en,1
putra2re,3,1496,2014-07-12 20:42:37+00:00,id,16
jumpgunner,13,306,2012-01-13 04:13:59+00:00,en,14
wheelescw,1,33,2010-09-28 11:14:03+00:00,en,1
cgoldwynn,52,2840,2011-07-12 08:55:23+00:00,en,32
juliavinta1,2,272,2015-05-13 13:28:43+00:00,en,9
jlarvig,4,170,2011-08-17 03:19:51+00:00,en,378
daniel_mtb,4,396,2009-09-05 01:02:52+00:00,en,5
SebastinTams,5,147,2013-12-07 18:00:11+00:00,en,12
NaeMzswagg,3,129,2011-05-29 21:56:54+00:00,en,20
oxbyowl,1,76,2012-09-25 23:04:14+00:00,en,6
DMiku,2,1164,2011-05-14 02:00:27+00:00,en,25
Too_cooled,0,70,2012-08-25 10:25:34+00:00,en,7
sanyny3,0,125,2010-11-26 11:18:12+00:00,en,23
edwardscissor12,0,207,2013-04-20 00:15:01+00:00,en,30
asyraaf88,0,63,2011-12-17 07:45:11+00:00,en,2
sliver_,3,298,2009-08-29 15:05:18+00:00,en,9
nsosa22,1,67,2011-01-20 01:03:44+00:00,en,5
bigbiird08,0,179,2012-12-18 05:07:30+00:00,en,6
davidguay13,0,229,2010-09-07 20:57:22+00:00,es,14
bryanbudrow14,5,1230,2014-05-02 04:07:37+00:00,en,29
RealllTalllk,0,94,2011-10-18 10:30:26+00:00,en,5
steveburich,4,1042,2012-04-12 23:24:58+00:00,en,58
clemiyi,2,778,2010-11-15 21:43:23+00:00,de,24
abumohamadalali,3,199,2012-05-30 14:45:56+00:00,en,14
icedcoffeeprod,1,102,2009-03-16 18:37:08+00:00,en,9
Mr_Scabb,5,321,2009-12-11 08:25:50+00:00,en,19
lpsfantasyfilms,3,38,2011-05-07 15:51:28+00:00,en,159
yonada_c,51,427,2012-03-29 10:50:28+00:00,en,12
wendigu,7,2091,2010-03-03 01:00:10+00:00,en,63
valetstand,0,52,2012-11-16 16:12:47+00:00,en,2
frankbkibela,1,132,2012-09-27 07:26:53+00:00,en,8
IvanGiovanniRiv,1,204,2011-12-08 03:01:30+00:00,en,30
bemd,4,193,2009-06-21 00:44:13+00:00,en,12
RocioLove69,2,80,2011-12-13 09:58:37+00:00,en,10
LuGMeeZiiDiiZ,6,177,2011-05-29 02:19:58+00:00,en,3
NaySint,1,73,2013-02-14 15:56:28+00:00,th,1
Kitsamas,2,1422,2013-09-12 02:33:42+00:00,en,46
BromLenka,0,70,2013-05-08 21:35:18+00:00,cs,4
Dougquirk1,0,72,2013-09-01 15:11:05+00:00,en,3
