"screen_name","followers_count","friends_count","created_at","lang","status_count"
"silverhair165",44,48,"Mon Jul 06 16:53:04 +0000 2009","en",338
"FredCabell",39,88,"Sat Oct 22 15:40:33 +0000 2011","en",293
"Madame_Feghaly",41,299,"Thu May 03 18:03:13 +0000 2012","en",220
"IRINKAYURKINA",2,7,"Sun Jan 08 09:19:49 +0000 2017","ru",184
"olenenok1985120",467,287,"Sat Oct 20 10:17:58 +0000 2012","ru",1516
"JodiCramer2",1,3,"Sun Aug 05 18:00:56 +0000 2012","en",194
"korikori1984",28,12,"Sun Oct 21 02:18:11 +0000 2012","ja",121
"IsoFleecie",7,11,"Fri Apr 07 09:09:09 +0000 2017","en",75
"Elizabeth_Telit",2,20,"Sat Jun 18 09:35:10 +0000 2016","ru",189
"CatherineOCon15",9,120,"Sun Jul 01 01:46:23 +0000 2012","en",136
"AskQurayat",0,0,"Sun Jul 09 11:56:25 +0000 2017","ar",121
"btuzcu26",267,1337,"Thu Aug 08 11:49:17 +0000 2013","tr",888
"crey2010",5,5,"Sun Nov 06 22:24:51 +0000 2011","en",60
"FriedChickenLA",73,61,"Wed Nov 06 15:35:54 +0000 2013","en",220
"Kawaiikarina101",9,117,"Mon May 08 16:12:32 +0000 2017","en",27
"ZukyRock",94,216,"Wed Sep 30 17:49:10 +0000 2009","en",2322
"D357ruk7",13,39,"Thu Dec 20 23:04:48 +0000 2012","en",218
"Neketa07",90,237,"Tue Jun 09 06:13:14 +0000 2009","en",1407
"breitsprecker3",9,15,"Tue Sep 01 02:01:56 +0000 2015","en",55
"janinecushman",49,57,"Thu Jul 14 21:49:48 +0000 2011","en",93
"robcayman",630,1347,"Sun Mar 27 14:16:26 +0000 2011","en",6467
"marceloocg",174,302,"Sun Oct 24 19:38:15 +0000 2010","es",548
"lindammarsella",11,73,"Sun Sep 04 15:22:58 +0000 2011","en",180
"satriawsm",0,1,"Wed Aug 20 12:23:01 +0000 2014","en",122
"picnikkkk",25,62,"Tue Oct 13 22:28:15 +0000 2009","en",121
"ashley4bella",145,149,"Sun Sep 09 03:36:54 +0000 2012","en",185
"GabesMommi11",39,208,"Sat Mar 17 00:34:09 +0000 2012","en",1004
"RockCashbox",33,258,"Wed Feb 08 18:34:58 +0000 2012","en",302
"AmyRaichelson",9,47,"Sun Jun 05 13:46:39 +0000 2016","en",64
"Misha_329",134,852,"Wed Jan 06 16:17:50 +0000 2010","en",2484
"davisdee",24,120,"Sun May 11 16:06:27 +0000 2008","en",177
"cammac22",9,45,"Wed Sep 21 16:07:40 +0000 2011","en",62
"WassupWit_B",231,227,"Fri Mar 26 01:34:07 +0000 2010","en",6938
"Plattae",188,795,"Tue Apr 24 15:54:25 +0000 2012","en",1957
"bradzieski",73,226,"Mon Jun 22 22:13:46 +0000 2009","en",202
"hafsagho",122,610,"Mon Aug 05 00:01:04 +0000 2013","en",258
"assihoward",19,26,"Fri Jul 12 05:47:33 +0000 2013","en",128
"RDbestdiet",2,7,"Wed Jul 15 13:46:24 +0000 2009","en",70
"LaMaremma",791,1560,"Thu May 27 10:57:03 +0000 2010","nl",3119
"soomroshuaib",78,189,"Wed Jun 01 10:21:51 +0000 2011","en",204
"JimBilka",6,18,"Tue Feb 16 00:26:47 +0000 2016","en",139
"ckeven",11,100,"Sat Mar 24 19:19:43 +0000 2007","en",137
"JalesaJones15",50,390,"Mon Apr 28 21:19:48 +0000 2014","en",460
"VladislavDXM",3,4,"Fri Apr 24 15:52:35 +0000 2015","ru",199
"KoT_1349",15,413,"Tue Feb 12 20:45:36 +0000 2013","ru",375
"Perry_Perreault",62,100,"Tue Sep 06 04:35:39 +0000 2011","en",105
"ZehraCP",88,158,"Fri Feb 01 17:48:23 +0000 2013","tr",330
"guin_r",71,641,"Wed Jun 20 17:16:34 +0000 2012","en",721
"AwengShah",494,905,"Wed Feb 11 19:16:03 +0000 2009","en",5796
"ntpeirce",30,48,"Mon Mar 22 18:38:16 +0000 2010","en",19
"sbscott4",49,77,"Tue Sep 08 04:27:23 +0000 2009","en",107
"kazpallas",175,156,"Sat Jan 28 20:05:54 +0000 2012","en",6459
"calikiwi87",78,480,"Tue May 05 17:38:57 +0000 2009","en",628
"Ranjith2101",23,149,"Thu Jun 24 09:49:07 +0000 2010","en",195
"deadeye985",8,19,"Sun Apr 29 20:58:47 +0000 2012","en",185
"pbo26",51,636,"Thu Jul 02 02:04:35 +0000 2009","en",249
"ayeny_89",29,214,"Thu Aug 18 19:52:27 +0000 2011","en",134
"tinkylove3",22,80,"Sat Nov 30 14:36:57 +0000 2013","en",235
"andariand18",1,17,"Sat Nov 06 11:51:20 +0000 2010","en",89
"markkos1977",1,10,"Tue Jan 01 12:00:36 +0000 2013","ru",198
"Kyroly18",1,19,"Sun Jan 10 21:17:54 +0000 2016","en",128
"daugherty_diana",0,13,"Sun Jul 29 23:47:16 +0000 2012","en",16
"mzwilson23",45,120,"Wed Feb 25 18:15:43 +0000 2009","en",316
"mrsjchesley",18,87,"Mon Jan 21 19:55:02 +0000 2013","en",77
"kittnjoe",6,110,"Wed Oct 02 00:11:52 +0000 2013","en",61
"prestoluh",171,427,"Fri Dec 25 16:41:14 +0000 2009","en",3825
"CeleryForDays",71,71,"Sun Jan 09 20:05:12 +0000 2011","en",276
"Brendiize",53,122,"Mon Aug 31 07:46:17 +0000 2009","en",237
"780_917",1035,1571,"Tue Apr 14 06:53:39 +0000 2015","en",693
"Unthoughtofhero",33,81,"Sat Mar 28 21:37:08 +0000 2009","en",352
"abbyilovu",0,3,"Thu Jan 07 16:20:40 +0000 2010","en",127
"mmdelise",16,99,"Fri Aug 15 12:08:40 +0000 2014","en",63
"Nikocarol",26,40,"Fri May 15 23:15:38 +0000 2009","en",709
"cnotes170",173,252,"Sat Jun 13 05:07:14 +0000 2009","en",192
"shelleyfewkes",14,99,"Tue Jan 04 18:20:34 +0000 2011","en",90
"lalandreP",492,190,"Sat Feb 27 15:55:07 +0000 2010","es",8457
"cheezypotato29",8,12,"Sat Oct 27 20:49:55 +0000 2012","en",152
"nicole_manning",276,237,"Thu May 07 20:46:01 +0000 2009","en",15810
"jamalataylor",84,256,"Sun Aug 01 23:11:45 +0000 2010","en",1641
"ElecktraB",78,252,"Tue Jul 30 13:16:37 +0000 2013","en",1313
"Courtne31121255",2,40,"Tue Sep 27 01:16:58 +0000 2016","en",80
"Tsexumlow1",3,27,"Tue Sep 13 16:45:28 +0000 2011","en",83
"DjMio83",7,14,"Fri Oct 01 15:19:47 +0000 2010","de",143
"megapavel210781",0,2,"Sun Jul 29 19:03:24 +0000 2012","ru",181
"dwrenn",218,698,"Fri Oct 03 04:15:53 +0000 2008","en",560
"LilFalker",92,284,"Wed Apr 06 03:41:34 +0000 2011","en",99
"Guilherme_azvv",461,305,"Sat Nov 06 14:19:44 +0000 2010","pt",16645
"mac_garry",36,41,"Sun Mar 21 01:02:27 +0000 2010","en",2072
"marinagazette",47,49,"Fri May 01 20:55:25 +0000 2009","en",173
"lhectorPR",312,399,"Fri Jan 23 22:23:10 +0000 2009","en",1583
"ChaniM1985",84,317,"Thu Feb 04 07:07:24 +0000 2010","en",475
"loubdoo99",103,570,"Mon Sep 08 16:17:09 +0000 2008","en",1013
"CJARhodes",265,210,"Tue May 24 15:50:51 +0000 2011","en",2529
"C00ND4CK",6,26,"Fri Oct 07 08:32:18 +0000 2011","tr",135
"GabbyEConti",26,25,"Thu Apr 15 06:35:13 +0000 2010","en",169
"MaKaleaBjoin",7,195,"Mon Dec 19 03:06:05 +0000 2011","en",90
"mpv111173",0,92,"Sun Apr 23 02:52:06 +0000 2017","ru",15
"tweetingsanjay",91,131,"Mon Jul 30 05:03:11 +0000 2012","en",1127
"Monolit1958",3,205,"Mon Sep 23 18:18:45 +0000 2013","ru",202
"jekison",121,222,"Wed Jun 30 19:26:36 +0000 2010","ru",3120
"jrbuca",6,10,"Fri Apr 24 16:47:11 +0000 2009","en",117
"LeonWinterBiz",1211,1430,"Sun Apr 24 17:58:28 +0000 2011","en",1313
"Ren429_Rants",186,328,"Wed Apr 29 05:10:43 +0000 2009","en",10948
"SinemKadak1",4,53,"Mon Sep 03 17:05:17 +0000 2012","tr",111
"gdonato",4,7,"Wed Jul 23 00:07:53 +0000 2008","en",84
"MerkRocks",11,43,"Sat Jan 21 19:37:26 +0000 2012","en",173
"msknharris75",79,886,"Tue Mar 17 16:29:17 +0000 2009","en",78
"DimplesIP",213,329,"Mon Jan 26 00:17:02 +0000 2009","en",959
"NaomiBCollier",28,55,"Tue Mar 31 01:19:59 +0000 2009","en",15
"Sergo_532",19,30,"Wed Dec 17 07:40:48 +0000 2014","ru",909
"reisana3",2,15,"Mon Oct 11 20:12:40 +0000 2010","en",152
"ToniKimberlyy",801,862,"Tue Mar 27 16:39:30 +0000 2012","en",2007
"MolaSamantha",30,132,"Fri Dec 18 15:36:28 +0000 2015","it",346
"Robocraigy",25,14,"Sun Sep 08 06:50:13 +0000 2013","en",160
"Thalyssonlyma",293,260,"Sat Aug 01 02:15:50 +0000 2009","pt",5429
"irvazquez112",31,94,"Sun Mar 23 12:13:38 +0000 2014","es",153
"GanapathyDyna",4,1,"Thu Jun 29 10:53:35 +0000 2017","en",161
"MarkPearson1",26,140,"Sat May 29 17:24:50 +0000 2010","en",188
"fimanata",3,9,"Wed Jul 04 20:23:32 +0000 2012","ru",186
"mpicchetti",9,8,"Thu Apr 12 02:03:45 +0000 2007","en",132
"racingjehu",1,56,"Fri Jul 29 00:17:40 +0000 2011","en",66
"Jojuwa9185",4,31,"Fri Jul 24 06:01:28 +0000 2015","en",78
"tuundraLove",17,100,"Sun Dec 06 19:57:31 +0000 2015","ru",483
"ellekayeeff",11,1,"Thu Nov 12 01:52:43 +0000 2015","en",143
"R63220315",1,20,"Mon Jun 20 21:30:54 +0000 2016","ru",128
"thevegascircle",395,1829,"Sun Sep 20 03:36:05 +0000 2009","en",882
"frank4ve",551,728,"Wed Dec 23 23:36:21 +0000 2009","es",23658
"JB2188",10,82,"Wed Jun 17 05:32:44 +0000 2009","en",125
"DrZombae",75,165,"Wed Jul 24 06:17:14 +0000 2013","en",379
"MitchTristan",0,3,"Mon Oct 01 15:42:55 +0000 2012","en",60
"Christina78134",22,229,"Sun Aug 21 05:32:39 +0000 2011","en",154
"_foreverbianca",19,94,"Sat Oct 24 02:17:54 +0000 2009","en",356
"beccakelly",9,38,"Mon Sep 22 19:51:57 +0000 2008","en",145
"vinoghradov_00",5,342,"Sun Mar 24 03:11:57 +0000 2013","ru",222
"FoxShame",2,41,"Fri Feb 20 19:03:40 +0000 2015","ru",196
"hsieh_kenny",7,60,"Sat Feb 04 04:13:45 +0000 2012","th",122
"hevish11",37,33,"Sun Apr 03 07:42:53 +0000 2011","en",130
"250273siv",485,834,"Mon Nov 21 17:51:33 +0000 2011","ru",1055
"96haslarzy69",3,1,"Fri Jul 24 19:41:14 +0000 2015","ru",184
"mau90soares",12,708,"Wed Mar 23 00:43:49 +0000 2016","pt",100
"kelrenee",49,126,"Wed Mar 26 21:11:33 +0000 2008","en",98
"ja_hor",41,82,"Mon Jun 13 18:33:06 +0000 2011","en",187
"gladozadewale",5,7,"Sat Jul 16 23:20:10 +0000 2011","en",171
"DmitrijYakovlev",1,3,"Tue Apr 17 20:13:24 +0000 2012","ru",1796
"zoahwong",46,53,"Thu Feb 26 19:46:00 +0000 2009","en",71
"AnnieNg00",29,96,"Thu May 31 14:59:03 +0000 2012","en",2212
"TheJuanAndOnly7",334,240,"Fri Jul 01 23:20:23 +0000 2011","en",8215
"efb6cA22NOS0TKA",51,0,"Thu Jun 15 11:11:03 +0000 2017","ru",135
"JOSPER1991",0,0,"Sun Apr 25 05:45:25 +0000 2010","en",78
"Im__Ba",430,422,"Wed Jul 20 19:08:56 +0000 2011","en",295
"chloe_sara1",26,106,"Wed Aug 06 21:01:20 +0000 2014","en",327
"KGrace377",97,486,"Mon Dec 28 19:39:03 +0000 2015","en",131
"JonathanChung2",43,80,"Wed May 25 21:52:34 +0000 2011","en",475
"ZhanzharovaJuly",1,6,"Thu Apr 28 13:48:24 +0000 2011","ru",179
"high_romance",25,276,"Fri May 07 08:36:29 +0000 2010","en",131
"KindAlcoholic",4,6,"Tue Jul 31 10:38:40 +0000 2012","en",5189
"ScottsdaleKid",0,2,"Sun May 15 22:58:20 +0000 2016","en",13
"MarreroWill",46,96,"Sat Apr 11 13:13:00 +0000 2009","en",133
"ayrtonbatistaa",8,34,"Thu Mar 03 23:57:46 +0000 2011","en",117
"valmitus",2,78,"Fri May 12 19:59:59 +0000 2017","ru",168
"SentencedToWin",659,1726,"Wed Sep 19 01:00:40 +0000 2012","fr",21989
"_thebradybunch",31,8,"Sun Jun 12 07:08:56 +0000 2011","en",116
"Danielle1126",41,191,"Sat Jun 27 23:16:46 +0000 2009","en",444
"gerri3511",7,22,"Tue Jul 07 13:37:15 +0000 2009","en",108
"devon212",199,507,"Sun Nov 01 14:40:48 +0000 2009","en",7244
"Christinelee78",9,147,"Tue Aug 22 18:40:04 +0000 2017","en",143
"RecklessDWR",590,1521,"Mon Apr 06 22:08:26 +0000 2009","en",3502
"Ilovescotts",74,64,"Sun Mar 18 00:03:29 +0000 2012","en",7181
"Colette_Florido",12,89,"Tue May 30 18:18:41 +0000 2017","en",67
"BridgetGeiger",4,6,"Sun Sep 21 14:55:22 +0000 2014","en",75
"ChrissyMCharles",164,553,"Sat Jan 08 01:59:56 +0000 2011","en",368
"fixitchris",26,18,"Mon Mar 02 02:41:05 +0000 2009","en",127
"x_Cotte",0,242,"Sat Jun 12 00:44:50 +0000 2010","es",107
"888Majed",21,18,"Thu Mar 29 04:57:00 +0000 2012","ar",117
"CBeddies",18,17,"Wed Jun 24 17:54:35 +0000 2009","en",80
"dorisjevans",6,30,"Sat Jul 21 06:39:52 +0000 2012","en",21
"gise18",20,103,"Tue May 19 05:07:24 +0000 2009","en",177
"glozzee_maks",10,31,"Mon Apr 01 00:15:12 +0000 2013","en",130
"Vibelizeii",2273,2608,"Fri Jun 24 22:58:35 +0000 2011","pt",5766
"MaddyFithian",67,133,"Mon Sep 28 20:01:18 +0000 2009","en",352
"justice4fall",125,97,"Thu Jul 04 17:32:07 +0000 2013","en",288
"DeeptiJodhawat",51,75,"Thu Apr 12 16:43:03 +0000 2012","en",139
"weyheysel",11215,8486,"Tue Mar 01 10:36:35 +0000 2011","en",2854
"kcute1",56,307,"Wed Nov 03 13:27:54 +0000 2010","en",395
"_Satsura_",0,118,"Tue Sep 11 19:07:30 +0000 2012","ru",190
"emoalterego",5,16,"Thu Nov 10 17:45:45 +0000 2011","en",97
"daniellafj05",13,187,"Sat Sep 14 20:35:09 +0000 2013","es",113
"imoncada",499,171,"Thu Jan 17 22:18:17 +0000 2008","en",247
"liamyang1989",6,113,"Thu Nov 17 00:12:02 +0000 2016","en",132
"alanathellama23",16,21,"Thu Feb 13 08:26:05 +0000 2014","en",88
"esteban3521",19,109,"Wed Feb 08 22:17:51 +0000 2012","fr",434
"boomerandbabies",17,180,"Tue Mar 16 17:43:26 +0000 2010","en",395
"hallford_k",15,121,"Sat Jul 26 23:53:27 +0000 2014","en",146
"YourTaxAdviser",33,101,"Mon Jul 06 23:05:09 +0000 2009","en",82
"Nikkiiii12",0,287,"Wed Apr 24 15:32:16 +0000 2013","en",121
"markdmorrison",7,26,"Tue Feb 10 13:33:55 +0000 2009","en",132
"TashebaJohnson",1922,990,"Wed Aug 19 03:04:19 +0000 2009","en",17382
"29billy",1,58,"Sat Aug 22 14:30:58 +0000 2009","en",145
"ju_duart",98,578,"Sun May 29 21:28:37 +0000 2011","pt",590
"23masshole",189,1030,"Thu Feb 23 11:50:57 +0000 2012","en",849
"mjcgia",3,6,"Thu Feb 02 15:55:26 +0000 2012","en",12
"peteyc",10,94,"Wed Oct 31 13:37:25 +0000 2012","en",158
"B_Fails",227,198,"Fri Oct 23 00:11:23 +0000 2009","en",2334
"SquiliamFP",10,9,"Sun Jan 22 00:19:55 +0000 2017","en",37
"ReDa1996ok",2,27,"Mon Nov 14 12:56:48 +0000 2011","fr",194
"lyandclaro",188,78,"Tue May 17 23:03:20 +0000 2011","pt",10918
"mdvg28",13,121,"Sat Jun 26 01:08:41 +0000 2010","es",124
"Dabonz75",4,8,"Mon Feb 21 06:37:15 +0000 2011","en",119
"squizzelo",182,235,"Thu Apr 14 10:48:46 +0000 2011","en",1467
"nycxswties",9,30,"Fri Jun 12 13:51:56 +0000 2009","en",15
"josefxavier",117,212,"Fri Sep 25 06:55:10 +0000 2009","en",232
"MelvinRamirezHN",21,45,"Mon Nov 05 18:39:02 +0000 2012","es",87
"Asap_Shani",18,42,"Wed Oct 17 20:51:49 +0000 2012","en",201
"kimmycorn12",111,312,"Tue Mar 12 21:27:58 +0000 2013","en",115
"Christo16330994",4,30,"Thu Aug 03 10:06:11 +0000 2017","en",15
"LorriVillarreal",34,162,"Tue Mar 08 20:15:23 +0000 2016","en",248
"jayleemt",7,11,"Sun Apr 12 02:54:12 +0000 2009","en",77
"zarya99",2,62,"Fri Aug 17 19:37:09 +0000 2012","ru",131
"Saluto4ka_Puppy",120,221,"Fri Sep 30 09:14:05 +0000 2016","ru",198
"tdrizzle53",24,79,"Tue Jul 09 13:58:57 +0000 2013","en",144
"Tarabeann",58,237,"Tue Mar 03 15:30:59 +0000 2009","en",253
"CCME10",17,80,"Mon Jul 08 16:07:37 +0000 2013","en",268
"maadddyyy_",185,77,"Sat Mar 30 23:09:37 +0000 2013","en",4769
"scotrubyconfftx",5,378,"Thu Feb 26 06:30:51 +0000 2015","en",200
"ZarubinDaniil",11,12,"Sun May 15 16:19:54 +0000 2011","ru",197
"cunningpat",41,83,"Sun Jun 14 18:09:49 +0000 2009","en",499
"luvmayberry2",41,200,"Sat Oct 05 03:40:01 +0000 2013","en",175
"Erendira_Mttz",295,220,"Thu Nov 24 22:21:14 +0000 2011","es",10216
"PushaSmith",83,495,"Wed Apr 13 21:02:59 +0000 2011","en",344
"jeennbravo",192,136,"Fri Jun 05 21:37:14 +0000 2009","es",1796
"kain_anna",285,284,"Wed Aug 24 03:57:54 +0000 2011","en",1082
"Gitsie13",3,66,"Sat Mar 21 13:57:21 +0000 2009","en",18
"bbchristianne",236,196,"Thu Jun 18 13:38:16 +0000 2009","en",9945
"Cuteshorty99",266,463,"Mon Feb 27 23:45:05 +0000 2012","en",1299
"luvthatjewelry",1,0,"Mon Dec 15 23:15:47 +0000 2014","en",79
"abiharlove",12,70,"Sat Oct 01 23:26:46 +0000 2011","en",103
"hmorales379",8,28,"Fri Apr 15 03:18:48 +0000 2011","en",82
"HomayunKanouni",2,29,"Fri Sep 11 17:51:40 +0000 2015","en",27
"hesseyMHS007",42,135,"Fri May 08 01:52:12 +0000 2009","en",10611
"TPeterson21",32,89,"Thu Aug 18 02:59:25 +0000 2011","en",102
"anna_kuliganova",12,5,"Wed Dec 02 23:54:56 +0000 2009","ru",607
"DerekVandeWeg",60,81,"Fri Mar 11 07:46:50 +0000 2011","en",25
"nima1218",27,111,"Tue Oct 11 03:39:41 +0000 2011","en",505
"Bchessermusic",69,359,"Thu Nov 15 22:34:09 +0000 2012","en",191
"Jackson3038",22,70,"Wed Apr 07 22:24:45 +0000 2010","en",91
"dudacastro1997",4,453,"Tue Sep 15 21:34:27 +0000 2009","pt",117
"anthonysmydee",259,170,"Tue Dec 13 06:51:04 +0000 2011","en",4205
"rosendo_A_R",38,40,"Tue Mar 19 01:16:23 +0000 2013","en",693
"jhoweyeshomecom",377,525,"Wed Apr 01 18:31:42 +0000 2009","en",328
"triplelindi4",18,18,"Thu Jan 05 10:21:51 +0000 2012","en",134
"SamWinks",160,422,"Tue Apr 12 01:08:58 +0000 2011","en",3387
"OpFobParasdise",16,89,"Mon Mar 13 23:03:11 +0000 2017","en",138
"Klubik777",4,707,"Sat May 31 08:56:24 +0000 2014","ru",268
"lhw017",2,2,"Sun Feb 13 14:19:36 +0000 2011","en",72
"eberheardt17",5,9,"Thu Oct 06 20:51:44 +0000 2016","en",54
"ForeverGeee",767,514,"Sat Oct 02 10:12:09 +0000 2010","en",22461
"YardleyIan",14,25,"Sat Oct 15 23:10:20 +0000 2011","en",244
"asvspb1",2,31,"Tue Oct 07 17:54:42 +0000 2014","ru",138
"MarinaDelReyApp",12,0,"Wed Sep 19 10:29:23 +0000 2012","en",94
"jpearson99801",3,7,"Wed Dec 28 18:53:06 +0000 2016","en",85
"ssbarsness",20,42,"Wed Sep 16 00:49:54 +0000 2015","en",77
"LucyJuiceJ",4,332,"Sun Apr 15 16:36:56 +0000 2012","en",141
"Garagefl0wer",853,782,"Sat Nov 13 18:48:24 +0000 2010","en",11264
"afisher48",25,84,"Wed Aug 03 17:39:49 +0000 2011","en",549
"platium321",12,25,"Wed Mar 17 01:32:51 +0000 2010","en",551
"elliesuue",52,113,"Sun Feb 13 23:34:44 +0000 2011","en",373
"maryanneonyx",19,66,"Fri Jun 07 00:39:08 +0000 2013","en",198
"kaffeapan",69,93,"Tue Apr 21 07:42:21 +0000 2009","sv",5239
"GretaJocyte",252,514,"Mon Jan 30 20:35:26 +0000 2012","en",2441
"rickspickelmier",191,121,"Tue Jan 13 16:51:25 +0000 2009","en",2105
"ne1sonshine",358,391,"Thu Mar 12 16:11:21 +0000 2009","en",14409
"AmericanKozzak",89,612,"Wed Apr 25 21:29:32 +0000 2007","en",2142
"brk7894",64,48,"Sat Mar 14 18:44:22 +0000 2009","en",17176
"jbrugg65",57,254,"Mon Jun 08 14:09:12 +0000 2009","en",746
"jbutlersibul",2,986,"Sat Aug 13 11:57:02 +0000 2011","en",29
"jessyqin",4,1465,"Sun Apr 24 09:38:21 +0000 2011","en",98
"AiMeEtRiM",5,90,"Sun May 02 10:32:44 +0000 2010","en",7
"RobertoAmry",3,248,"Wed Jan 07 15:31:39 +0000 2015","en",7
"birdieowner",1,165,"Mon Aug 02 18:30:32 +0000 2010","en",10
"WangYun13",6,159,"Thu Nov 03 11:30:30 +0000 2011","zh-tw",37
"nearlyemma",92,395,"Mon Apr 14 23:49:52 +0000 2014","en",1532
"EkoAbdi",0,30,"Wed Dec 29 20:20:42 +0000 2010","en",1
"marie1700001",2,168,"Fri Sep 27 19:53:08 +0000 2013","fr",32
"JennyAK47",7,906,"Tue Mar 24 00:35:08 +0000 2009","en",33
"p3p343v3r",7,181,"Wed May 19 23:37:55 +0000 2010","es",6
"dcopher84",2,95,"Fri Sep 24 02:15:37 +0000 2010","en",6
"KremerMichael",4,221,"Thu Aug 02 19:45:12 +0000 2012","de",4
"DellaneyK",4,239,"Fri Jun 22 15:27:23 +0000 2012","en",11
"SoThugdOut",1,100,"Mon Nov 16 23:18:27 +0000 2009","en",7
"urarasho2",5,173,"Sun Jun 26 07:11:37 +0000 2016","zh-cn",2
"fancygirl44",0,183,"Tue Sep 01 18:45:45 +0000 2009","en",16
"SFetner1969",3,413,"Tue Sep 06 14:07:43 +0000 2016","en",6
"kyteille",2,178,"Wed Sep 15 08:43:38 +0000 2010","en",5
"Waxywilly710",0,70,"Wed Jan 23 06:13:07 +0000 2013","en",2
"CreasyAustin",0,366,"Mon Jan 27 21:37:31 +0000 2014","en",12
"dnogrl",0,171,"Thu Nov 27 08:27:43 +0000 2014","en",6
"wardbrianna80",12,1409,"Wed Aug 15 18:17:51 +0000 2012","en",25
"pimpattrasiri",0,397,"Sat May 14 06:54:48 +0000 2011","en",15
"Switacz",3,582,"Mon Jan 03 12:27:23 +0000 2011","en",29
"Rene22398648",17,3217,"Wed Mar 28 16:07:44 +0000 2012","de",34
"_9723074370523",0,197,"Sun Mar 18 09:50:04 +0000 2012","zh-cn",5
"GroverGuzman",1,55,"Fri Mar 11 00:24:08 +0000 2011","es",1
"juriflza",2,337,"Tue Oct 25 13:12:35 +0000 2011","en",28
"Krisstikk",5,51,"Sat Oct 10 20:18:10 +0000 2009","en",1
"Joshua_Elmooxz",48,381,"Sat Aug 25 21:47:25 +0000 2012","en",126
"Daniscattergood",4,253,"Wed Jul 13 17:22:29 +0000 2011","en",9
"HugueDrew",4,1214,"Thu Jan 26 08:55:19 +0000 2012","fr",37
"deanyclaire",4,74,"Wed May 12 06:56:43 +0000 2010","en",1
"latinking1987",39,415,"Mon Jul 07 03:37:49 +0000 2014","en",609
"art0205",2,1291,"Tue Aug 16 03:56:41 +0000 2011","ko",16
"lubbly_97",6,2376,"Sat Mar 19 13:34:12 +0000 2011","en",64
"Leodark_74",0,56,"Fri Mar 25 23:23:12 +0000 2011","en",3
"blaszyski",1,1172,"Mon Feb 07 12:15:33 +0000 2011","en",41
"marlyshaa",10,191,"Mon Sep 06 02:59:13 +0000 2010","en",3
"_curtisamerica",0,226,"Mon Aug 13 15:05:59 +0000 2012","en",11
"w1zzo",1,167,"Thu Dec 24 06:33:20 +0000 2009","en",4
"YuliaAnthonio",3,102,"Wed Jan 22 15:10:11 +0000 2014","en",10
"nanorre",11,89,"Tue Jan 11 17:23:57 +0000 2011","en",31
"Bassvirus",1,146,"Thu Jan 19 16:20:07 +0000 2012","en",12
"RiverMZaye",4,904,"Tue Mar 20 02:04:12 +0000 2012","en",37
